longitude,latitude,Location,Cult,Image
37.45034116,-0.532675505,"Embu, Eastern",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
37.37712345,-2.018133894,"Sultan Hamud, Eastern",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
36.82194673,-1.292064376,"Nairobi, Nairobi",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
34.59762953,-0.988103648,"Kisii, Nyanza",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
34.68895723,-0.429093086,"Kosele, Nyanza",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
34.36605646,-0.728396479,"Ndhiwa, Nyanza",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
36.07502679,-0.283027542,"Nakuru, Rift Valley",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
27.49160384,-29.30831711,Maseru,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
101.6840631,3.131920516,"Kuala Lumpur, Federal Territory",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
102.3875982,2.804584953,"Bahau, Negeri Sembilan",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-61.0725583,14.60937557,Fort-de-France,Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-117.0044722,32.46838249,"La Paz, BC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-103.4067827,25.5428489,"Torreon, COAH",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-99.13320682,19.43260951,"Mexico City, DF",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-103.3496209,20.65965204,"Guadalajara, JAL",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
